log_date,app_id,utm_source,sum_duration,users
2022-12-05,Android,AdShmop,645180.0,69
2022-12-05,Android,IronSink,357960.0,41
2022-12-05,Android,Mota,49920.0,7
2022-12-05,Android,organic,4631460.0,542
2022-12-05,iOS,AdShmop,1335900.0,146
2022-12-05,iOS,IronSink,576120.0,62
2022-12-05,iOS,Mota,257460.0,29
2022-12-05,iOS,organic,10598820.0,1223
2022-12-05,PC,AdShmop,711180.0,81
2022-12-05,PC,IronSink,239580.0,31
2022-12-05,PC,Mota,75600.0,9
2022-12-05,PC,organic,5986920.0,680
2022-12-05,Web,AdShmop,270180.0,31
2022-12-05,Web,IronSink,52440.0,7
2022-12-05,Web,Mota,33300.0,4
2022-12-05,Web,organic,2322600.0,275
2022-12-06,Android,AdShmop,564000.0,73
2022-12-06,Android,IronSink,260040.0,29
2022-12-06,Android,Mota,89160.0,12
2022-12-06,Android,organic,4309920.0,499
2022-12-06,iOS,AdShmop,1075560.0,131
2022-12-06,iOS,IronSink,392100.0,50
2022-12-06,iOS,Mota,189180.0,21
2022-12-06,iOS,organic,9956700.0,1136
2022-12-06,PC,AdShmop,789420.0,88
2022-12-06,PC,IronSink,285660.0,32
2022-12-06,PC,Mota,130920.0,13
2022-12-06,PC,organic,5649480.0,638
2022-12-06,Web,AdShmop,323580.0,40
2022-12-06,Web,IronSink,101460.0,12
2022-12-06,Web,Mota,20520.0,3
2022-12-06,Web,organic,2293680.0,267
2022-12-07,Android,AdShmop,711720.0,72
2022-12-07,Android,IronSink,299460.0,31
2022-12-07,Android,Mota,98340.0,10
2022-12-07,Android,organic,4636200.0,527
2022-12-07,iOS,AdShmop,1423860.0,157
2022-12-07,iOS,IronSink,506100.0,55
2022-12-07,iOS,Mota,152580.0,16
2022-12-07,iOS,organic,9982680.0,1135
2022-12-07,PC,AdShmop,834360.0,96
2022-12-07,PC,IronSink,304980.0,34
2022-12-07,PC,Mota,119220.0,13
2022-12-07,PC,organic,5107080.0,585
2022-12-07,Web,AdShmop,345480.0,39
2022-12-07,Web,IronSink,146820.0,19
2022-12-07,Web,Mota,39420.0,4
2022-12-07,Web,organic,2529360.0,281
2022-12-08,Android,AdShmop,506940.0,59
2022-12-08,Android,IronSink,146520.0,18
2022-12-08,Android,Mota,41880.0,5
2022-12-08,Android,organic,4559520.0,519
2022-12-08,iOS,AdShmop,1290600.0,138
2022-12-08,iOS,IronSink,458940.0,54
2022-12-08,iOS,Mota,122340.0,14
2022-12-08,iOS,organic,9466320.0,1107
2022-12-08,PC,AdShmop,989100.0,105
2022-12-08,PC,IronSink,351000.0,35
2022-12-08,PC,Mota,115260.0,13
2022-12-08,PC,organic,5478300.0,623
2022-12-08,Web,AdShmop,311700.0,35
2022-12-08,Web,IronSink,86340.0,11
2022-12-08,Web,Mota,12780.0,2
2022-12-08,Web,organic,2355060.0,272
2022-12-09,Android,AdShmop,625320.0,68
2022-12-09,Android,IronSink,157860.0,18
2022-12-09,Android,Mota,66180.0,8
2022-12-09,Android,organic,4483260.0,514
2022-12-09,iOS,AdShmop,1329720.0,152
2022-12-09,iOS,IronSink,458400.0,57
2022-12-09,iOS,Mota,152700.0,17
2022-12-09,iOS,organic,9868920.0,1117
2022-12-09,PC,AdShmop,711120.0,82
2022-12-09,PC,IronSink,204900.0,25
2022-12-09,PC,Mota,124260.0,15
2022-12-09,PC,organic,5502960.0,627
2022-12-09,Web,AdShmop,300780.0,33
2022-12-09,Web,IronSink,113460.0,12
2022-12-09,Web,Mota,8100.0,1
2022-12-09,Web,organic,2497020.0,277
2022-12-10,Android,AdShmop,775200.0,87
2022-12-10,Android,IronSink,229980.0,29
2022-12-10,Android,Mota,94320.0,11
2022-12-10,Android,organic,4565160.0,533
2022-12-10,iOS,AdShmop,1392480.0,159
2022-12-10,iOS,IronSink,623700.0,68
2022-12-10,iOS,Mota,130320.0,19
2022-12-10,iOS,organic,10093080.0,1161
2022-12-10,PC,AdShmop,773040.0,84
2022-12-10,PC,IronSink,299640.0,37
2022-12-10,PC,Mota,144660.0,15
2022-12-10,PC,organic,5512860.0,632
2022-12-10,Web,AdShmop,292140.0,37
2022-12-10,Web,IronSink,119400.0,13
2022-12-10,Web,Mota,53460.0,6
2022-12-10,Web,organic,2291220.0,265
2022-12-11,Android,AdShmop,743100.0,87
2022-12-11,Android,IronSink,181140.0,22
2022-12-11,Android,Mota,70440.0,8
2022-12-11,Android,organic,4394820.0,510
2022-12-11,iOS,AdShmop,1387440.0,160
2022-12-11,iOS,IronSink,553620.0,63
2022-12-11,iOS,Mota,124260.0,14
2022-12-11,iOS,organic,9938040.0,1137
2022-12-11,PC,AdShmop,788820.0,94
2022-12-11,PC,IronSink,318540.0,38
2022-12-11,PC,Mota,137880.0,12
2022-12-11,PC,organic,5777280.0,660
2022-12-11,Web,AdShmop,251940.0,31
2022-12-11,Web,IronSink,151980.0,16
2022-12-11,Web,Mota,55860.0,7
2022-12-11,Web,organic,2247540.0,250
2022-12-12,Android,AdShmop,815700.0,88
2022-12-12,Android,IronSink,286380.0,33
2022-12-12,Android,Mota,110160.0,14
2022-12-12,Android,organic,4218960.0,490
2022-12-12,iOS,AdShmop,1652400.0,187
2022-12-12,iOS,IronSink,468840.0,54
2022-12-12,iOS,Mota,172500.0,19
2022-12-12,iOS,organic,9629280.0,1092
2022-12-12,PC,AdShmop,878700.0,94
2022-12-12,PC,IronSink,307140.0,32
2022-12-12,PC,Mota,101940.0,11
2022-12-12,PC,organic,5219820.0,590
2022-12-12,Web,AdShmop,325020.0,36
2022-12-12,Web,IronSink,53400.0,8
2022-12-12,Web,Mota,64140.0,7
2022-12-12,Web,organic,2572740.0,293
2022-12-13,Android,AdShmop,667920.0,77
2022-12-13,Android,IronSink,267660.0,32
2022-12-13,Android,Mota,76860.0,9
2022-12-13,Android,organic,4244220.0,471
2022-12-13,iOS,AdShmop,1414920.0,163
2022-12-13,iOS,IronSink,406020.0,45
2022-12-13,iOS,Mota,234840.0,28
2022-12-13,iOS,organic,9640860.0,1089
2022-12-13,PC,AdShmop,929280.0,104
2022-12-13,PC,IronSink,400500.0,46
2022-12-13,PC,Mota,103740.0,11
2022-12-13,PC,organic,5556360.0,632
2022-12-13,Web,AdShmop,335760.0,41
2022-12-13,Web,IronSink,137760.0,14
2022-12-13,Web,Mota,16740.0,2
2022-12-13,Web,organic,2402040.0,287
